Dataset Size,Data Structure,Operation,Time (seconds)
100000,B-Tree,insertion,0.2890150547027588
100000,B-Tree,search,0.22669100761413574
100000,B-Tree,deletion,0.8022441864013672
100000,Red-Black Tree,insertion,0.2656879425048828
100000,Red-Black Tree,search,0.13797879219055176
100000,Red-Black Tree,deletion,0.14524197578430176
100000,XOR Linked List,insertion,0.05781912803649902
100000,XOR Linked List,search,0.009010076522827148
100000,XOR Linked List,deletion,0.07335019111633301
200000,B-Tree,insertion,0.6374971866607666
200000,B-Tree,search,0.5385961532592773
200000,B-Tree,deletion,1.675964117050171
200000,Red-Black Tree,insertion,0.7045941352844238
200000,Red-Black Tree,search,0.35475707054138184
200000,Red-Black Tree,deletion,0.30551815032958984
200000,XOR Linked List,insertion,0.19277286529541016
200000,XOR Linked List,search,0.017128944396972656
200000,XOR Linked List,deletion,0.13414406776428223
300000,B-Tree,insertion,0.9641709327697754
300000,B-Tree,search,0.7373130321502686
300000,B-Tree,deletion,2.576154947280884
300000,Red-Black Tree,insertion,0.9511611461639404
300000,Red-Black Tree,search,0.5470988750457764
300000,Red-Black Tree,deletion,0.4577610492706299
300000,XOR Linked List,insertion,0.21468210220336914
300000,XOR Linked List,search,0.02646613121032715
300000,XOR Linked List,deletion,0.20019006729125977
400000,B-Tree,insertion,1.4103190898895264
400000,B-Tree,search,1.0824499130249023
400000,B-Tree,deletion,3.5395619869232178
400000,Red-Black Tree,insertion,1.5311591625213623
400000,Red-Black Tree,search,0.7933590412139893
400000,Red-Black Tree,deletion,0.6279077529907227
400000,XOR Linked List,insertion,0.30478596687316895
400000,XOR Linked List,search,0.0341649055480957
400000,XOR Linked List,deletion,0.2684061527252197
500000,B-Tree,insertion,1.9731817245483398
500000,B-Tree,search,1.451894998550415
500000,B-Tree,deletion,4.430008888244629
500000,Red-Black Tree,insertion,2.3056132793426514
500000,Red-Black Tree,search,1.056535005569458
500000,Red-Black Tree,deletion,0.7865080833435059
500000,XOR Linked List,insertion,0.34368014335632324
500000,XOR Linked List,search,0.04265999794006348
500000,XOR Linked List,deletion,0.3346259593963623
600000,B-Tree,insertion,2.6508028507232666
600000,B-Tree,search,1.806758165359497
600000,B-Tree,deletion,5.347888946533203
600000,Red-Black Tree,insertion,2.873102903366089
600000,Red-Black Tree,search,1.376297950744629
600000,Red-Black Tree,deletion,0.9501869678497314
600000,XOR Linked List,insertion,0.4458458423614502
600000,XOR Linked List,search,0.051115989685058594
600000,XOR Linked List,deletion,0.4007878303527832
700000,B-Tree,insertion,3.135478973388672
700000,B-Tree,search,2.2437500953674316
700000,B-Tree,deletion,6.311379909515381
700000,Red-Black Tree,insertion,3.507963180541992
700000,Red-Black Tree,search,1.613119125366211
700000,Red-Black Tree,deletion,1.1228880882263184
700000,XOR Linked List,insertion,0.5368208885192871
700000,XOR Linked List,search,0.05964517593383789
700000,XOR Linked List,deletion,0.469465970993042
800000,B-Tree,insertion,3.957368850708008
800000,B-Tree,search,2.6824493408203125
800000,B-Tree,deletion,7.134862899780273
800000,Red-Black Tree,insertion,4.596933126449585
800000,Red-Black Tree,search,1.9193799495697021
800000,Red-Black Tree,deletion,1.2850518226623535
800000,XOR Linked List,insertion,0.5819840431213379
800000,XOR Linked List,search,0.06831002235412598
800000,XOR Linked List,deletion,0.5346660614013672
900000,B-Tree,insertion,4.598844051361084
900000,B-Tree,search,2.9500508308410645
900000,B-Tree,deletion,8.074981927871704
900000,Red-Black Tree,insertion,5.014337062835693
900000,Red-Black Tree,search,2.221114158630371
900000,Red-Black Tree,deletion,1.4519689083099365
900000,XOR Linked List,insertion,0.6818737983703613
900000,XOR Linked List,search,0.0767669677734375
900000,XOR Linked List,deletion,0.6204662322998047
1000000,B-Tree,insertion,5.122317790985107
1000000,B-Tree,search,3.3932859897613525
1000000,B-Tree,deletion,9.138149976730347
1000000,Red-Black Tree,insertion,5.365769147872925
1000000,Red-Black Tree,search,2.50583815574646
1000000,Red-Black Tree,deletion,1.631094217300415
1000000,XOR Linked List,insertion,0.809906005859375
1000000,XOR Linked List,search,0.085205078125
1000000,XOR Linked List,deletion,0.6660559177398682
